author,text,published_at,likes,clean_text,topic_id,topic_label,sentiment_label,sentiment_score
@guardiannews,John Lewis ad kickstarts Christmas countdown to the tune of 90s club classic ► https://www.theguardian.com/media/2025/nov/04/john-lewis-christmas-advert-countdown-90s-club-classic-where-love-lives,2025-11-04 09:21:26+00:00,40,john lewis ad kickstarts christmas countdown to the tune of 90s club classic,1,strong emotional praise,NEGATIVE,0.959587574005127
@Jess-qy6pm,Was a black singer!!!!!,2025-11-14 22:30:54+00:00,0,was a black singer!!!!!,0,music themes & general praise,POSITIVE,0.9846669435501099
@hopeack12345,❤❤❤❤ Came here after watching the diabolical m&s advert,2025-11-14 22:23:44+00:00,0,came here after watching the diabolical m&s advert,1,strong emotional praise,NEGATIVE,0.7487043142318726
@LessMarxMoreMises,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad  doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",2025-11-14 21:01:06+00:00,0,"worst christmas ad in history! was it written by ai?! forced sentimentality, weird, parody-like cringe fest! it's as if they said ""right, what sums up a british christmas?... a middle-aged, labour-voting dad doing tiktok-level dad dancing at a rave he absolutely should not be at!""",4,mixed evaluations (best vs worst),NEGATIVE,0.9997963309288025
@rosson1983,Excellent advert. As usual JL blows the other retailers out of the water.,2025-11-14 19:24:21+00:00,0,excellent advert. as usual jl blows the other retailers out of the water.,3,general christmas advert discussion,POSITIVE,0.9966123700141907
@jackieplatts4359,"Oh this is lovely and, yes, I’m crying 🥹",2025-11-14 17:38:26+00:00,0,"oh this is lovely and, yes, i’m crying 🥹",1,strong emotional praise,POSITIVE,0.9996932744979858
@m535i,"Well done to all those who put this amazing John Lewis advert together. Absolutely nailed it. Can't believe the emotions & tears that have come over me. I'd do anything for one last hug with my dad, but sadly he's gone. Lets hope this advert brings families closer together again.",2025-11-14 16:18:35+00:00,0,"well done to all those who put this amazing john lewis advert together. absolutely nailed it. can't believe the emotions & tears that have come over me. i'd do anything for one last hug with my dad, but sadly he's gone. lets hope this advert brings families closer together again.",3,general christmas advert discussion,POSITIVE,0.9989781379699707
@juliabroadley8411,Beautiful 😢❤,2025-11-14 14:40:39+00:00,0,beautiful,1,strong emotional praise,POSITIVE,0.998188316822052
@666kismett,Another disappointing Christmas advert,2025-11-14 12:44:17+00:00,0,another disappointing christmas advert,3,general christmas advert discussion,NEGATIVE,0.988399863243103
@engerland3239,Old skoolers ❤️ ❤,2025-11-14 10:45:24+00:00,0,old skoolers,2,nostalgia & memories,NEGATIVE,0.9797589778900146
